"ticker","start_date","end_date","isin_ID","Sector","Enviro_Corr_Sector_Avg","Enviro_Corr","Env_Sector_Sd","Social_Corr_Sector_Avg","Social_Corr","Social_Sector_Sd","Gov_Corr_Sector_Avg","Gov_Corr","Gov_Sector_Sd"
"A US",2020-10-27,2022-11-07,"US00846U1016","Health Care",0.134229303087344,NA,0.508297822310093,0.194442748380857,-0.404856862612253,0.537281976863721,0.0225877011879323,0.17432218153854,0.582779256310135
"AAP US",2021-07-21,2022-11-07,"US00751Y1064","Consumer Discretionary",-0.109068816928555,0.612354822405393,0.531510022562008,0.220277658005794,0.38702646234788,0.469608921405082,-0.0496821076547926,0.092922561044034,0.440398988338778
"ABBV US",2021-07-21,2022-11-07,"US00287Y1091","Health Care",0.134229303087344,0.714653140722062,0.508297822310093,0.194442748380857,0.589802106018939,0.537281976863721,0.0225877011879323,0.254448009953201,0.582779256310135
"ABT US",2021-07-21,2022-11-07,"US0028241000","Health Care",0.134229303087344,0.254595031943197,0.508297822310093,0.194442748380857,0.717967805312467,0.537281976863721,0.0225877011879323,0.636468634261123,0.582779256310135
"ACN US",2020-10-27,2022-11-07,"IE00B4BNMY34","Information Technology",-0.0298681598799467,-0.291829558011694,0.488814354533865,0.165912216552457,-0.738977334187106,0.542327927047337,-0.164723683739357,-0.703471679404297,0.451337081935364
"ADBE US",2021-07-21,2022-11-07,"US00724F1012","Information Technology",-0.0298681598799467,-0.136971190767525,0.488814354533865,0.165912216552457,0.749237791062334,0.542327927047337,-0.164723683739357,0.133020856926726,0.451337081935364
"ADI US",2021-07-21,2022-11-07,"US0326541051","Information Technology",-0.0298681598799467,-0.55346590784194,0.488814354533865,0.165912216552457,0.649624470002999,0.542327927047337,-0.164723683739357,-0.71083292648947,0.451337081935364
"ADM US",2020-10-27,2022-11-07,"US0394831020","Consumer Staples",0.214569636701728,0.338332074559526,0.446393983840053,0.261843712915606,0.822609117704775,0.419791369080568,-0.019985411792594,-0.248977893438924,0.407009184492001
"ADP US",2020-10-27,2022-11-07,"US0530151036","Information Technology",-0.0298681598799467,0.271307124450516,0.488814354533865,0.165912216552457,0.928750490819735,0.542327927047337,-0.164723683739357,-0.218659151971334,0.451337081935364
"AES US",2020-10-27,2022-11-07,"US00130H1059","Utilities",0.503214010762021,0.224192148252156,0.335405737390289,0.270245137998241,0.637505796566445,0.398755628794563,-0.131301244399918,0.243131031031094,0.344477732206012
"AIG US",2021-01-19,2022-11-07,"US0268747849","Financials",0.0929933540100568,0.358979719930786,0.567531132978112,0.130804025369291,-0.463213320805937,0.560762777541612,-0.0336434279022096,-0.342593858087185,0.449293601112833
"AIZ US",2020-10-27,2022-11-07,"US04621X1081","Financials",0.0929933540100568,-0.895938590850797,0.567531132978112,0.130804025369291,0.903008618472704,0.560762777541612,-0.0336434279022096,-0.217459116304866,0.449293601112833
"AJG US",2020-10-27,2022-11-07,"US3635761097","Financials",0.0929933540100568,0.30941869369362,0.567531132978112,0.130804025369291,-0.30941869369362,0.560762777541612,-0.0336434279022096,0.505635011283701,0.449293601112833
"ALGN US",2021-07-21,2022-11-07,"US0162551016","Health Care",0.134229303087344,NA,0.508297822310093,0.194442748380857,-0.814529581331239,0.537281976863721,0.0225877011879323,-0.797024013057956,0.582779256310135
"ALK US",2021-07-21,2022-11-07,"US0116591092","Industrials",0.0775392403960125,-0.382740449063834,0.529828806813477,0.208665362110005,0.897623500539138,0.512644700367829,-0.0317706487562133,-0.881079522055336,0.446247063917655
"ALL US",2021-07-21,2022-11-07,"US0200021014","Financials",0.0929933540100568,-0.805938202767779,0.567531132978112,0.130804025369291,0.920351312160793,0.560762777541612,-0.0336434279022096,-0.220529664668011,0.449293601112833
"AMAT US",2021-07-21,2022-11-07,"US0382221051","Information Technology",-0.0298681598799467,-0.628873575798642,0.488814354533865,0.165912216552457,0.51389853985229,0.542327927047337,-0.164723683739357,-0.295798045627269,0.451337081935364
